Elevation,0,1,2,3,4,5,6,7,8,9
6660,0,0,0,0,0,0,0,1,2,4
6670,6,8,11,14,17,20,23,27,31,35
6680,39,41,42,44,47,49,53,56,60,65
6690,70,76,82,89,97,106,116,126,138,150
6700,164,171,177,185,193,201,209,218,228,238
6710,248,259,270,282,295,308,321,335,350,365
6720,381,388,395,402,408,415,421,427,433,439
6730,445,451,456,461,467,472,477,482,487,491
6740,496,505,513,522,531,540,550,559,569,578
6750,588,598,608,618,628,639,649,660,671,682
6760,693,700,707,715,722,730,739,747,756,765
6770,774,784,793,803,814,825,836,847,859,871
6780,883,897,911,924,938,951,964,977,989,1002
6790,1014,1026,1038,1050,1062,1073,1084,1095,1106,1117
6800,1127,1137,1148,1160,1172,1184,1197,1211,1225,1240
6810,1255,1271,1288,1306,1325,1344,1364,1385,1407,1429
6820,1453,1476,1498,1520,1542,1563,1584,1605,1625,1645
6830,1665,1685,1704,1723,1742,1761,1779,1797,1815,1833
6840,1850,1869,1888,1908,1928,1948,1968,1989,2010,2031
6850,2052,2073,2095,2117,2139,2161,2183,2206,2229,2252
6860,2275,2316,2357,2397,2437,2476,2514,2552,2590,2627
6870,2663,2699,2734,2769,2804,2838,2872,2905,2938,2970
6880,3002,3044,3086,3126,3165,3204,3242,3278,3314,3350
6890,3384,3417,3450,3482,3513,3544,3574,3603,3632,3660
6900,3687,3717,3748,3778,3809,3840,3871,3902,3934,3965
6910,3997,4029,4061,4093,4125,4158,4191,4224,4257,4290
6920,4323,4360,4397,4433,4469,4504,4539,4573,4606,4639
6930,4672,4704,4736,4767,4798,4829,4856,4889,4918,4947
6940,4975,5006,5037,5068,5100,5131,5164,5196,5229,5262
