# USBR 24-Month Studies: Hoover Dam - Lake Mead, Side Inflow Glen to Hoover
Year Oct Nov Dec Jan Feb Mar Apr May Jun Jul Aug Sep Water_Year_Total
2009 61 61 61 63 82 62 36 63 11 38 59 55 651  # Oct-Dec extrapolated from total
2010 23 39 51 124 112 87 138 87 30 29 126 82 928
2011 80 13 249 74 84 77 140 104 72 74 96 96 1157
2012 65 36 84 55 44 43 46 16 7 69 169 97 732
2013 53 60 50 56 68 69 37 28 1 113 132 155 824
2014 38 101 43 45 76 29 17 13 10 54 112 138 675
2015 68 44 56 73 90 57 26 25 16 80 115 73 724
2016 118 41 42 89 81 31 68 50 14 70 107 88 798
2017 79 78 63 128 150 97 92 39 17 89 94 70 994
2018 44 40 43 78 60 70 43 21 27 106 74 84 690
2019 100 68 52 106 126 200 118 108 69 20 64 58 1087
2020 34 117 118 75 68 156 83 33 19 35 69 56 863
2021 36 58 59 72 55 33 36 9 -31 95 89 50 558
2022 80 42 64 60 58 41 30 8 16 70 186 120 776
