# USBR 24-Month Studies: Parker Dam - Navajo Reservoir, NIIP Diversion 
Year Oct Nov Dec Jan Feb Mar Apr May Jun Jul Aug Sep Water_Year_Total
2009 0 0 0 1 0 5 19 29 36 43 42 22 210
2010 13 0 0 0 0 3 12 26 40 47 35 25 202
2011 8 1 1 1 1 4 19 28 42 48 47 20 220
2012 10 0 1 1 1 6 27 34 46 44 45 22 236
2013 11 0 0 0 0 6 21 36 42 40 34 15 205
2014 4 0 0 0 0 4 21 31 39 44 37 22 203
2015 7 0 0 0 0 3 20 23 20 39 33 25 170
2016 9 0 0 0 0 1 4 19 12 25 37 33 27 169
2017 5 0 0 0 0 1 6 19 25 40 43 35 23 198
2018 8 0 0 0 1 6 20 36 42 42 42 27 224
2019 7 0 0 0 1 4 20 25 36 47 42 29 211
2020 6 0 1 1 3 5 25 37 41 47 44 21 230
2021 9 0 0 0 1 4 20 34 44 45 39 25 222
2022 2 0 0 0 1 4 17 38 37 39 38 23 200
